,喜歡,文章ID,板名,留言內容,留言時間,發文者ID
2881,→,M.1523256644.A.98C,e-shopping,然後貼身衣物真的不要省這個錢買淘寶`,223.136.198.180 04/09 22:20,cching1021
2882,→,M.1523256644.A.98C,e-shopping,白牌 癌症治療是天價啊 莫因小失大,223.136.198.180 04/09 22:20,cching1021
2883,→,M.1523256644.A.98C,e-shopping,至於你要怎麼選 想省運費不走官方管道,223.136.198.180 04/09 22:22,cching1021
2884,→,M.1523256644.A.98C,e-shopping,就做好承擔風險後果的準備,223.136.198.180 04/09 22:23,cching1021
2885,推,M.1523256644.A.98C,e-shopping,絕對不要,175.182.159.10 04/09 23:42,halulu
2886,推,M.1523256644.A.98C,e-shopping,我認真覺得告知對方我們是台灣人，他們,223.136.92.167 04/10 02:51,cpt0116
2887,→,M.1523256644.A.98C,e-shopping,反而會坑...因為沒辦法退換,223.136.92.167 04/10 02:51,cpt0116
2888,推,M.1523256644.A.98C,e-shopping,只能推樓上了,122.121.81.130 04/10 03:00,peipeiko
2889,推,M.1523256644.A.98C,e-shopping,我記得售後服務有個僅退款啊0.0 之前收,110.50.165.92 04/10 12:30,musashi9
2890,→,M.1523256644.A.98C,e-shopping,到邊角破損蠻嚴重的，發圖給店家表示東,110.50.165.92 04/10 12:30,musashi9
2891,→,M.1523256644.A.98C,e-shopping,西還是想收藏，店家非常阿沙力的退我一,110.50.165.92 04/10 12:30,musashi9
2892,→,M.1523256644.A.98C,e-shopping,半以上款項(嚇到我還問他這樣子有賺嗎XD,110.50.165.92 04/10 12:30,musashi9
2893,→,M.1523256644.A.98C,e-shopping,) 店家就表示這是物流缺失也是他們該承,110.50.165.92 04/10 12:30,musashi9
2894,→,M.1523256644.A.98C,e-shopping,擔的，售後服務非常客氣。,110.50.165.92 04/10 12:30,musashi9
2895,→,M.1523256644.A.98C,e-shopping,難道是時間過太久，所以售後退款時間已,110.50.165.92 04/10 12:30,musashi9
2896,→,M.1523256644.A.98C,e-shopping,關閉嗎？,110.50.165.92 04/10 12:30,musashi9
2897,推,M.1523256644.A.98C,e-shopping,之前有買過小東西不能用的，淘寶介入,111.243.45.102 04/11 00:38,peggy791003
2898,→,M.1523256644.A.98C,e-shopping,後僅退款沒退貨,111.243.45.102 04/11 00:38,peggy791003
2899,推,M.1521386365.A.1D0,e-shopping,買過這間的 品質不錯 與他店同款式的,114.136.33.253 03/18 23:50,muxijiner
2900,→,M.1521386365.A.1D0,e-shopping,的確價格稍高一點 然後是褲子我覺得偏,114.136.33.253 03/18 23:50,muxijiner
2901,→,M.1521386365.A.1D0,e-shopping,長一點點 七分款褲子我157穿就變成八,114.136.33.253 03/18 23:50,muxijiner
2902,→,M.1521386365.A.1D0,e-shopping,分了,114.136.33.253 03/18 23:50,muxijiner
2903,→,M.1521386365.A.1D0,e-shopping,迪卡儂我覺得CP值很高 可以試試,111.71.216.32 03/19 08:16,Piaok
2904,推,M.1521386365.A.1D0,e-shopping,想求>< +1,140.116.250.218 03/19 08:55,dlik18
2905,推,M.1521386365.A.1D0,e-shopping,最近迷上跑步 也很喜歡迪卡儂 便宜也好,101.14.66.196 03/19 09:11,helloEGCL
2906,→,M.1521386365.A.1D0,e-shopping,穿,101.14.66.196 03/19 09:11,helloEGCL
2907,推,M.1521386365.A.1D0,e-shopping,請問有人買過迪卡農天貓商店的嗎？感覺選,114.40.157.184 03/19 12:02,maktub
2908,→,M.1521386365.A.1D0,e-shopping,擇多很多而且好看,114.40.157.184 03/19 12:02,maktub
2909,推,M.1521386365.A.1D0,e-shopping,我目前有買過穩定回購的是細細屋 品質,114.136.33.253 03/19 12:53,muxijiner
2910,→,M.1521386365.A.1D0,e-shopping,蠻穩定的價格也ok 天使之魅&fitshow修,114.136.33.253 03/19 12:53,muxijiner
2911,→,M.1521386365.A.1D0,e-shopping,媽的也不貴品質也還不錯 但這幾間風格,114.136.33.253 03/19 12:53,muxijiner
2912,→,M.1521386365.A.1D0,e-shopping,都比較偏向運動取向 和悟瑜珈的風格不,114.136.33.253 03/19 12:53,muxijiner
2913,→,M.1521386365.A.1D0,e-shopping,同,114.136.33.253 03/19 12:53,muxijiner
2914,推,M.1521386365.A.1D0,e-shopping,迪卡農瑜伽褲非常多選擇喔，不止兩三款，,180.217.108.70 03/19 13:04,lovetb5
2915,→,M.1521386365.A.1D0,e-shopping,我買了無縫的非常滿意！,180.217.108.70 03/19 13:04,lovetb5
2916,推,M.1521386365.A.1D0,e-shopping,同推迪卡儂瑜珈褲 短褲我包了四色 有圖,114.47.230.52 03/19 15:51,sks22330
2917,→,M.1521386365.A.1D0,e-shopping,有真相 https://i.imgur.com/tqDXQhL.jpg,114.47.230.52 03/19 15:51,sks22330
2918,→,M.1521386365.A.1D0,e-shopping,無縫系列的也有兩件，很舒服，建議可買,114.47.230.52 03/19 15:52,sks22330
2919,→,M.1521386365.A.1D0,e-shopping,比平時尺寸小1～2號,114.47.230.52 03/19 15:52,sks22330
2920,推,M.1521386365.A.1D0,e-shopping,迪卡儂有台灣網站，價格跟淘寶差不多,1.171.54.15 03/20 20:19,whitelady
2921,→,M.1521386365.A.1D0,e-shopping,退貨很乾脆，不過淘寶可以看評價,1.171.54.15 03/20 20:20,whitelady
2922,→,M.1521386365.A.1D0,e-shopping,我也是在迪卡儂買的，c/p真心高,1.171.54.15 03/20 20:21,whitelady
2923,推,M.1521386365.A.1D0,e-shopping,s大買的中間那兩色，我有買同款的7分褲和搭,49.159.186.207 03/21 23:57,PDCat
2924,→,M.1521386365.A.1D0,e-shopping,一整套的背心，真的好穿,49.159.186.207 03/21 23:57,PDCat
2925,→,M.1520404707.A.321,e-shopping,先爬一下版上大家推的其他牌子 或是,42.72.96.56 03/07 15:16,haru04041015
2926,→,M.1520404707.A.321,e-shopping,說說自己想要哪種花色或是哪種繽紛,42.72.96.56 03/07 15:16,haru04041015
2927,→,M.1520404707.A.321,e-shopping,的顏色,42.72.96.56 03/07 15:16,haru04041015
2928,推,M.1520404707.A.321,e-shopping,各家動運品牌(？),101.138.97.181 03/07 15:30,vikkibai
2929,→,M.1520404707.A.321,e-shopping,我看到的運動品牌怎麼都是不可拆的,114.137.15.118 03/07 16:51,bevet
2930,→,M.1520404707.A.321,e-shopping,要不就避開瑜珈品牌 改找一般的運,42.72.96.56 03/07 17:20,haru04041015
2931,→,M.1520404707.A.321,e-shopping,動品牌？,42.72.96.56 03/07 17:20,haru04041015
2932,推,M.1520404707.A.321,e-shopping,Lululemon很多而且超好穿，但爆預算,114.136.111.136 03/07 17:48,cedrus
2933,推,M.1520404707.A.321,e-shopping,請問樓上都是在哪裡試穿lulu?,110.50.142.85 03/07 17:56,lovetb5
2934,推,M.1520404707.A.321,e-shopping,Lululemon在忠孝敦化跟新光三越信義都有開,1.34.237.32 03/07 20:43,cedrus
2935,→,M.1520404707.A.321,e-shopping,直營店，可以直接到店裡試穿喔,1.34.237.32 03/07 20:43,cedrus
2936,推,M.1520404707.A.321,e-shopping,迪卡儂,39.9.201.155 03/07 21:01,wenwen814
2937,推,M.1520404707.A.321,e-shopping,wakingbee 泰國牌子~ 花色都超美,42.72.132.92 03/07 21:37,crazyplum
2938,推,M.1520404707.A.321,e-shopping,樓上推薦的品牌罩杯都是可拆的..,180.217.141.32 03/08 22:34,lovetb5
2939,→,M.1519118666.A.A40,e-shopping,我很喜歡玻璃吸管含起來冰冰的感覺耶XD,180.217.180.150 02/20 17:37,str8guy
2940,推,M.1519118666.A.A40,e-shopping,哇這家杯套也太多顏色可選～我在別家買也是,27.52.162.25 02/20 17:48,pinny
2941,→,M.1519118666.A.A40,e-shopping,30元可是只有黑色跟灰色～,27.52.162.25 02/20 17:48,pinny
2942,推,M.1519118666.A.A40,e-shopping,這個光南也有賣,123.240.43.101 02/20 17:57,ce583vti
2943,推,M.1519118666.A.A40,e-shopping,被燒到 難得有便宜又不難看的,61.223.100.22 02/20 18:02,facetea
2944,→,M.1519118666.A.A40,e-shopping,這個淘寶就有,49.217.211.122 02/20 18:06,cryy
2945,推,M.1519118666.A.A40,e-shopping,不然飲料原本是裸體嗎QAQ,101.10.18.181 02/20 18:11,poppyeny
2946,推,M.1519118666.A.A40,e-shopping,覺得還是保冰保溫提袋比較實用，也不用擔心,36.229.86.9 02/20 18:12,maoju
2947,→,M.1519118666.A.A40,e-shopping,飲料或水珠四處滴灑，跟傘套一樣~,36.229.86.9 02/20 18:12,maoju
2948,推,M.1519118666.A.A40,e-shopping,覺得提袋好像一件泳衣…,223.139.30.19 02/20 18:34,nonofixfix
2949,→,M.1519118666.A.A40,e-shopping,推玻璃吸管,223.139.30.19 02/20 18:34,nonofixfix
2950,推,M.1519118666.A.A40,e-shopping,我用玻璃斜口的可以插破欸！只是要一次,111.251.33.241 02/20 18:43,jen10969
2951,→,M.1519118666.A.A40,e-shopping,不要猶豫的用力戳下去就是XD,111.251.33.241 02/20 18:43,jen10969
2952,推,M.1519118666.A.A40,e-shopping,光南有賣，一個$29,49.216.160.122 02/20 18:59,me0533
2953,→,M.1519118666.A.A40,e-shopping,之前買文創的帆布 結果拿著都會歪 氣死,103.234.230.213 02/20 19:10,goabao
2954,推,M.1519118666.A.A40,e-shopping,買這麼多袋子不怕傷害北極熊嗎？,61.230.17.114 02/20 19:28,BlueHsiang
2955,推,M.1519118666.A.A40,e-shopping,真的好像內衣xdd,115.43.8.102 02/20 20:00,helloer
2956,推,M.1519118666.A.A40,e-shopping,推我也有在蝦皮買這個,49.215.51.114 02/20 20:05,a1014120925
2957,→,M.1519118666.A.A40,e-shopping,不管手搖杯或是咖啡都可以使用 很萬,49.215.51.114 02/20 20:06,a1014120925
2958,→,M.1519118666.A.A40,e-shopping,用,49.215.51.114 02/20 20:06,a1014120925
2959,→,M.1519118666.A.A40,e-shopping,我的斜口玻璃吸管可以直接插耶~,122.121.127.9 02/20 20:41,indarkmoon
2960,→,M.1519118666.A.A40,e-shopping,要不要試試用手指堵住上方洞口，一口,122.121.127.9 02/20 20:41,indarkmoon
2961,→,M.1519118666.A.A40,e-shopping,氣插進去呢?(我買的是玻璃工藝管),122.121.127.9 02/20 20:42,indarkmoon
2962,→,M.1519118666.A.A40,e-shopping,有心推 但覺得可以只買一到兩個就好,61.223.176.26 02/20 21:13,rabbychen76
2963,→,M.1519118666.A.A40,e-shopping,跟環保袋一樣買太多反而會變得不環保,61.223.176.26 02/20 21:13,rabbychen76
2964,→,M.1519118666.A.A40,e-shopping,了,61.223.176.26 02/20 21:13,rabbychen76
2965,推,M.1519118666.A.A40,e-shopping,用斜口玻璃吸管插得破+1,1.163.176.86 02/20 21:54,Miahh
2966,→,M.1519118666.A.A40,e-shopping,但既然說要愛地球，以後自備飲料杯吧,1.163.176.86 02/20 21:54,Miahh
2967,推,M.1519118666.A.A40,e-shopping,雖然我只買了一個飲料袋，但我認為別,59.127.199.44 02/20 22:28,yehmei0102
2968,→,M.1519118666.A.A40,e-shopping,人買了飲料袋就問別人怎麼不自備飲料,59.127.199.44 02/20 22:28,yehmei0102
2969,→,M.1519118666.A.A40,e-shopping,杯，又覺得別人怎麼買那麼多飲料袋，,59.127.199.44 02/20 22:28,yehmei0102
2970,→,M.1519118666.A.A40,e-shopping,有點雞蛋裡挑骨頭,59.127.199.44 02/20 22:28,yehmei0102
2971,→,M.1519118666.A.A40,e-shopping,一來飲料袋也可以像衣服一樣，依心情,59.127.199.44 02/20 22:29,yehmei0102
2972,→,M.1519118666.A.A40,e-shopping,常更換，每天選自己喜歡的顏色花色啊,59.127.199.44 02/20 22:29,yehmei0102
2973,→,M.1519118666.A.A40,e-shopping,！否則衣服是不是其實也只買三四件替,59.127.199.44 02/20 22:29,yehmei0102
2974,→,M.1519118666.A.A40,e-shopping,換就夠了？,59.127.199.44 02/20 22:29,yehmei0102
2975,→,M.1519118666.A.A40,e-shopping,二來別人自備飲料袋、吸管就認為對方,59.127.199.44 02/20 22:31,yehmei0102
2976,→,M.1519118666.A.A40,e-shopping,也該自備飲料杯，有點像鐵粉問其他喜,59.127.199.44 02/20 22:31,yehmei0102
2977,→,M.1519118666.A.A40,e-shopping,歡偶像的人，怎麼沒有場場簽唱會必到,59.127.199.44 02/20 22:31,yehmei0102
2978,→,M.1519118666.A.A40,e-shopping,。每個人都有自己的考量和進度吧！,59.127.199.44 02/20 22:31,yehmei0102
2979,推,M.1519118666.A.A40,e-shopping,"那就別加環保兩字吧,完全脫離環保概念了",1.163.42.234 02/20 22:46,cabessa
2980,推,M.1519118666.A.A40,e-shopping,政府的環保政策只是從垃圾換成增加別,123.240.239.75 02/20 22:57,wuling1001
2981,→,M.1519118666.A.A40,e-shopping,種垃圾而已,123.240.239.75 02/20 22:57,wuling1001
2982,→,M.1519118666.A.A40,e-shopping,對啊腦殘政府政策 環保就是叫你一直買啊,36.239.204.2 02/20 23:07,rairobin
2983,→,M.1519118666.A.A40,e-shopping,呵呵,36.239.204.2 02/20 23:07,rairobin
2984,→,M.1519118666.A.A40,e-shopping,加這兩個字比較好搜尋啊...(就跟「哈,59.127.199.44 02/20 23:49,yehmei0102
2985,→,M.1519118666.A.A40,e-shopping,比人大衣」的「哈比人」一樣),59.127.199.44 02/20 23:49,yehmei0102
2986,→,M.1519118666.A.A40,e-shopping,撞到是不太會破啦……倒是整隻掉到水管裡,223.139.225.109 02/21 00:31,LieLife
2987,→,M.1519118666.A.A40,e-shopping,比較有可能Q.Q,223.139.225.109 02/21 00:31,LieLife
2988,推,M.1519118666.A.A40,e-shopping,環保愛地球哪裡錯了!!怎麼一堆酸酸,114.32.119.174 02/21 00:53,rngo
2989,→,M.1519118666.A.A40,e-shopping,我的玻璃吸管也無法戳破塑膠封膜好苦惱,114.32.119.174 02/21 00:53,rngo
2990,推,M.1519118666.A.A40,e-shopping,又不是用一次就丟，重複使用就是環保阿,111.254.75.87 02/21 01:09,leoniz
2991,推,M.1519118666.A.A40,e-shopping,我都直接拿吸小塑膠袋裝,1.169.29.148 02/21 02:41,Qwerty99
2992,推,M.1519118666.A.A40,e-shopping,https://i.imgur.com/AKTkYmO.jpg,223.136.167.152 02/21 08:07,babypowder
2993,推,M.1519118666.A.A40,e-shopping,跟表姐兩人因為覺得網路上賣的貴森森,223.136.167.152 02/21 08:11,babypowder
2994,→,M.1519118666.A.A40,e-shopping,。所以去淘寶買了布回來自己車。車完,223.136.167.152 02/21 08:11,babypowder
2995,→,M.1519118666.A.A40,e-shopping,很有成就感。還加工了個安全扣子方便,223.136.167.152 02/21 08:11,babypowder
2996,→,M.1519118666.A.A40,e-shopping,收納。 不過因為手不夠靈巧。 三小時,223.136.167.152 02/21 08:11,babypowder
2997,→,M.1519118666.A.A40,e-shopping,只做了一個。突然覺得網路上那些2.300,223.136.167.152 02/21 08:11,babypowder
2998,→,M.1519118666.A.A40,e-shopping,的似乎也沒那麼貴了。（菸）,223.136.167.152 02/21 08:11,babypowder
2999,→,M.1519118666.A.A40,e-shopping,哪個帳號到處在罵環保袋，不用太認真,111.83.173.70 02/21 08:25,drawingyou
3000,→,M.1519118666.A.A40,e-shopping,…自備提袋很好呀，有時候外出，放個,111.83.173.70 02/21 08:25,drawingyou
3001,→,M.1519118666.A.A40,e-shopping,簡單零錢包鑰匙也不錯，反覆使用就習,111.83.173.70 02/21 08:25,drawingyou
3002,→,M.1519118666.A.A40,e-shopping,慣了,111.83.173.70 02/21 08:25,drawingyou
3003,推,M.1519118666.A.A40,e-shopping,https://i.imgur.com/veQg2XG.jpg,111.83.173.70 02/21 08:27,drawingyou
3004,推,M.1519118666.A.A40,e-shopping,有保護套也是不容易破的主因，隔絕冷,111.83.173.70 02/21 08:30,drawingyou
3005,→,M.1519118666.A.A40,e-shopping,空氣，降低溫差。有時候店員會先幫我,111.83.173.70 02/21 08:30,drawingyou
3006,→,M.1519118666.A.A40,e-shopping,熱杯再裝，這半年裝熱飲都沒事，只是,111.83.173.70 02/21 08:30,drawingyou
3007,→,M.1519118666.A.A40,e-shopping,護套沾過很多咖啡漬XD,111.83.173.70 02/21 08:30,drawingyou
3008,推,M.1519118666.A.A40,e-shopping,玻璃吸管底部微裂，喝到玻璃，只好換成,114.136.54.143 02/21 09:59,foldcat
3009,→,M.1519118666.A.A40,e-shopping,醜醜的不鏽鋼…,114.136.54.143 02/21 09:59,foldcat
3010,推,M.1519118666.A.A40,e-shopping,也好想買可愛杯套，可是我都叫外送...,125.230.18.67 02/21 13:54,wendy22664
3011,→,M.1519118666.A.A40,e-shopping,好像用不到...,125.230.18.67 02/21 13:54,wendy22664
3012,推,M.1519118666.A.A40,e-shopping,超像運動內衣XD,36.232.136.56 02/21 14:06,stupidmin
3013,推,M.1519118666.A.A40,e-shopping,又不是只有自備飲料杯才叫環保，飲料袋,115.82.128.113 02/21 17:26,bloodclod
3014,→,M.1519118666.A.A40,e-shopping,不是一種環保嗎？飲料袋不能裝其他東,115.82.128.113 02/21 17:26,bloodclod
3015,→,M.1519118666.A.A40,e-shopping,西嗎？,115.82.128.113 02/21 17:26,bloodclod
3016,推,M.1519118666.A.A40,e-shopping,樓上f大經驗好可怕QQ（抖著看正在用的,223.141.139.162 02/21 17:47,Ariesmee
3017,→,M.1519118666.A.A40,e-shopping,玻璃吸管,223.141.139.162 02/21 17:47,Ariesmee
3018,→,M.1519118666.A.A40,e-shopping,提問：以後限吸管，到底要怎麼插吸,111.241.215.31 02/21 19:46,jasmineshun2
3019,→,M.1519118666.A.A40,e-shopping,管？,111.241.215.31 02/21 19:46,jasmineshun2
3020,推,M.1519118666.A.A40,e-shopping,有些吸管會附贈塑膠小刀子,223.140.224.243 02/21 20:08,melontree
3021,推,M.1519118666.A.A40,e-shopping,玻璃吸管我很愛，不過每次用之前會,27.247.231.254 02/21 20:33,chihhsuanchc
3022,→,M.1519118666.A.A40,e-shopping,稍微看一下有沒有破，我也怕喝到玻,27.247.231.254 02/21 20:34,chihhsuanchc
3023,→,M.1519118666.A.A40,e-shopping,璃XD,27.247.231.254 02/21 20:34,chihhsuanchc
3024,推,M.1519118666.A.A40,e-shopping,不鏽鋼吸管有斜口的，很好用,111.83.173.70 02/21 22:20,drawingyou
3025,→,M.1519118666.A.A40,e-shopping,不鏽鋼吸管很好啊==我朋友買玻璃的又貴然,42.72.96.68 02/22 17:22,grueena
3026,→,M.1519118666.A.A40,e-shopping,後還摔破==,42.72.96.68 02/22 17:22,grueena
3027,推,M.1519118666.A.A40,e-shopping,想炫一下我朋友幫我手做的提袋,118.161.38.11 02/22 22:27,ninichan218
3028,→,M.1519118666.A.A40,e-shopping,https://i.imgur.com/LyUgq4z.jpg,118.161.38.11 02/22 22:28,ninichan218
3029,→,M.1516286711.A.987,e-shopping,沒標題？,101.9.137.182 01/18 22:49,ching1105
3030,推,M.1516286711.A.987,e-shopping,嗚嗚嗚我不是首推,223.136.188.64 01/18 22:54,sliverscar7
3031,→,M.1516286711.A.987,e-shopping,覺得看起來很福哈哈哈哈,223.136.188.64 01/18 22:55,sliverscar7
3032,→,M.1516286711.A.987,e-shopping,一樓我重發13次終於成功了！拍謝啊！,114.136.188.121 01/18 22:56,arc13129
3033,推,M.1516286711.A.987,e-shopping,原本以為GP福袋只適合瘦的人,123.194.189.215 01/18 23:07,Mayday1215
3034,→,M.1516286711.A.987,e-shopping,，今天試穿實在太滿意～厚片能穿伸展,123.194.189.215 01/18 23:07,Mayday1215
3035,→,M.1516286711.A.987,e-shopping,度高而且很舒服，很值得！,,Mayday1215
3036,推,M.1516286711.A.987,e-shopping,我也跟妳一樣買小了一個尺寸 哈哈,114.136.31.85 01/18 23:15,ppppp23
3037,推,M.1516286711.A.987,e-shopping,PJ福袋只有顏色不一樣!,114.36.65.157 01/19 00:40,kqqkqq
3038,推,M.1516286711.A.987,e-shopping,我洗很多次都沒有變臭耶？,27.52.195.190 01/19 00:47,assiduous567
3039,推,M.1516286711.A.987,e-shopping,回應快速/使命必達的是？乖嗎,49.214.198.246 01/19 01:30,ca1986sh
3040,推,M.1516286711.A.987,e-shopping,GP覺得白金款灰色好好看 但現在沒很需要,59.124.222.96 01/19 09:08,may8010
3041,→,M.1516286711.A.987,e-shopping,等解除單身才需要的東西 QQQ,59.124.222.96 01/19 09:08,may8010
3042,推,M.1516286711.A.987,e-shopping,變臭是那種悶悶的味道嗎，那應該換洗,27.246.13.114 01/19 13:30,winnie1099
3043,→,M.1516286711.A.987,e-shopping,衣精，或是衣服洗好趕快用除濕機弄乾,27.246.13.114 01/19 13:30,winnie1099
3044,→,M.1516286711.A.987,e-shopping,就可以了,27.246.13.114 01/19 13:30,winnie1099
3045,推,M.1516286711.A.987,e-shopping,感謝先生的測試www這樣厚片人明年可以考,121.86.186.58 01/20 01:22,asdfyuio
3046,→,M.1516286711.A.987,e-shopping,慮入手了,,asdfyuio
3047,推,M.1516286711.A.987,e-shopping,Pj好福！不知道現在還買得到嗎,218.161.96.200 01/20 12:38,ok5552442
3048,推,M.1516286711.A.987,e-shopping,之前淘寶還有看到有代購po. 但尺寸不齊。,42.72.241.17 01/20 16:02,ppppp23
3049,→,M.1516286711.A.987,e-shopping,可以看看喔！,42.72.241.17 01/20 16:02,ppppp23
3050,推,M.1516287748.A.102,e-shopping,妳的比我好！第四套跟妳一樣不喜歡,114.136.188.121 01/18 23:06,arc13129
3051,推,M.1516287748.A.102,e-shopping,T＿T好想買pj的內衣…為什麼都沒有G罩,27.246.160.214 01/18 23:13,attack0127
3052,→,M.1516287748.A.102,e-shopping,杯T＿T,27.246.160.214 01/18 23:13,attack0127
3053,推,M.1516287748.A.102,e-shopping,好福！,111.82.241.69 01/18 23:27,chiaoshroom
3054,推,M.1516287748.A.102,e-shopping,我跟乖買沒買到QQ,125.230.19.198 01/18 23:38,mimidisney
3055,→,M.1516287748.A.102,e-shopping,請問裡面有厚墊嗎？,125.230.19.198 01/18 23:38,mimidisney
3056,推,M.1516287748.A.102,e-shopping,很福啊～～～～,118.171.136.13 01/18 23:42,weedisgood
3057,推,M.1516287748.A.102,e-shopping,噗～～原po 太誠實,180.176.232.203 01/18 23:48,sarani
3058,推,M.1516287748.A.102,e-shopping,最後一套我之前去日本的時候是櫃上主,36.231.96.180 01/19 06:57,mysunnylove
3059,→,M.1516287748.A.102,e-shopping,打 好多日本妹在看,36.231.96.180 01/19 06:57,mysunnylove
3060,→,M.1516287748.A.102,e-shopping,第二套好看耶,111.253.166.136 01/19 08:44,yunpig0802
3061,推,M.1516287748.A.102,e-shopping,第二套好棒,120.126.194.196 01/19 08:56,milkyogurt
3062,推,M.1516287748.A.102,e-shopping,覺得很福 而且都是成套的！第2套我去,101.15.135.153 01/19 20:31,chicio2002
3063,→,M.1516287748.A.102,e-shopping,年夏季折扣季買2235,101.15.135.153 01/19 20:31,chicio2002
3064,推,M.1516287748.A.102,e-shopping,超福！,220.129.158.130 01/19 21:41,shadow0731
3065,推,M.1516287748.A.102,e-shopping,最後一套是法式無襯的款式嗎？,49.214.148.173 01/20 12:25,shyangyun
3066,推,M.1515338151.A.98C,e-shopping,好看，可以請問s大的身高體重做為參考嗎?,36.232.210.7 01/07 23:53,okdkd
3067,→,M.1515338151.A.98C,e-shopping,哈，忘了說，我165/67，肚子跟臀部較胖,180.204.196.44 01/08 00:34,saedpeox
3068,推,M.1515338151.A.98C,e-shopping,好生火喔,49.216.230.212 01/08 02:00,dec25
3069,推,M.1515338151.A.98C,e-shopping,看起來好瘦噢,42.72.233.117 01/08 06:01,LONERSAVE
3070,推,M.1515338151.A.98C,e-shopping,超生火,36.236.20.244 01/08 08:13,polkmn
3071,推,M.1515338151.A.98C,e-shopping,看起來真的不像這個體重耶！,42.73.209.225 01/08 08:35,iloveleehome
3072,推,M.1515338151.A.98C,e-shopping,分享得很清楚~~感謝~~,1.34.201.175 01/08 08:45,Qkatherine
3073,推,M.1515338151.A.98C,e-shopping,很好看,118.150.198.135 01/08 14:03,ponypuffy
3074,推,M.1515338151.A.98C,e-shopping,好看~買了!,122.118.16.85 01/09 06:05,cute0628
3075,推,M.1515338151.A.98C,e-shopping,好看,114.137.77.250 01/09 08:49,shan23
3076,推,M.1512971268.A.E12,e-shopping,推wiggle QQ,118.163.23.187 12/11 16:46,ilovemaggie
3077,推,M.1512971268.A.E12,e-shopping,最近都沒很優惠的折扣 去年一件都不超,163.27.116.1 12/11 17:49,monetblue
3078,→,M.1512971268.A.E12,e-shopping,過25鎊 唉,163.27.116.1 12/11 17:49,monetblue
3079,推,M.1512971268.A.E12,e-shopping,以前買shock absorber 慢跑的內衣一,118.167.1.164 12/11 20:12,grillsalmon
3080,→,M.1512971268.A.E12,e-shopping,件才20多英鎊，最近去看，整個被價,118.167.1.164 12/11 20:12,grillsalmon
3081,→,M.1512971268.A.E12,e-shopping,格嚇到,118.167.1.164 12/11 20:12,grillsalmon
3082,→,M.1512971268.A.E12,e-shopping,內衣只有買特價的，兩件都小於20XD,49.218.101.40 12/11 20:36,audreychu
3083,推,M.1512760459.A.551,e-shopping,已無法專心在商品上了,114.24.10.174 12/09 03:38,gary520gary1
3084,推,M.1512760459.A.551,e-shopping,鞋子跟內衣都超可愛,114.43.235.105 12/09 05:09,sam10930
3085,推,M.1512760459.A.551,e-shopping,忽然發現 重點都不在衣服上 （逃,111.253.230.137 12/09 05:49,xlargebing
3086,推,M.1512760459.A.551,e-shopping,請問鞋子買幾號呢,114.44.83.235 12/09 07:13,MeierRich
3087,→,M.1512760459.A.551,e-shopping,瘦子穿什麼都正,182.235.183.128 12/09 08:12,ponypuffy
3088,推,M.1512760459.A.551,e-shopping,推,110.28.4.226 12/09 08:16,Dream624
3089,推,M.1512760459.A.551,e-shopping,好美喔！,42.77.110.237 12/09 08:20,hseewei
3090,推,M.1512760459.A.551,e-shopping,鞋子好看！我也有買,36.233.101.94 12/09 09:15,chubee
3091,→,M.1512760459.A.551,e-shopping,請問妳升等快遞有被收關稅嗎？,110.28.129.109 12/09 09:18,sunny1024
3092,推,M.1512760459.A.551,e-shopping,我也有買那件legging耶（握手,27.247.37.63 12/09 10:08,nevermindlo
3093,推,M.1512760459.A.551,e-shopping,推洋裝！,111.240.132.253 12/09 10:22,loveforaver
3094,推,M.1512760459.A.551,e-shopping,Asos有賣這顏色的阿甘@@？,101.15.100.26 12/09 10:25,leepohom
3095,推,M.1512760459.A.551,e-shopping,我也有這雙阿甘 在台灣店面買的,27.147.59.61 12/09 10:27,yrmbc
3096,推,M.1512760459.A.551,e-shopping,當時竟然沒看到 結果在網拍買了QQ,101.15.100.26 12/09 10:28,leepohom
3097,推,M.1512760459.A.551,e-shopping,原po好瘦,114.137.211.201 12/09 11:31,savagehead
3098,推,M.1512760459.A.551,e-shopping,被原po身材燒到 (喂,101.14.144.39 12/09 11:33,phisally
3099,推,M.1512760459.A.551,e-shopping,推 身材差不多希望你多分享XDD,123.241.95.130 12/09 11:43,heyheyheyy
3100,推,M.1512760459.A.551,e-shopping,鞋子好好看 身材很好,115.82.211.63 12/09 12:09,pppeko
3101,推,M.1512760459.A.551,e-shopping,這色阿甘很美，但最後還是下手白底,111.184.234.131 12/09 12:10,fisheggnick
3102,→,M.1512760459.A.551,e-shopping,黑勾的基本款,111.184.234.131 12/09 12:10,fisheggnick
3103,推,M.1512760459.A.551,e-shopping,阿甘鞋豪美><,27.246.11.195 12/09 12:28,appletatsuro
3104,推,M.1512760459.A.551,e-shopping,這雙阿甘 我也在asos買 超美,223.136.59.124 12/09 13:35,a318164
3105,推,M.1512760459.A.551,e-shopping,好想買白底黑勾喔！,101.12.177.98 12/09 15:03,nellylog
3106,→,M.1512760459.A.551,e-shopping,好便宜！,61.228.93.25 12/09 15:22,racoon151
3107,推,M.1512760459.A.551,e-shopping,阿甘鞋買多少錢啊 生火!!,,musecow
