Member_number,Date,itemDescription,Quality
4728,06-09-2015,rolls/buns,1
3646,08-08-2015,hard cheese,1
1155,10-08-2015,house keeping products,1
2119,11-06-2015,packaged fruit/vegetables,1
1602,29-08-2015,beef,1
1074,24-06-2015,instant coffee,1
2256,11-04-2015,curd,1
1348,17-09-2015,beef,1
3806,28-08-2015,pork,1
1711,06-06-2015,soda,1
3959,12-04-2015,popcorn,1
1590,15-08-2015,whole milk,1
1962,08-06-2015,citrus fruit,1
1766,21-01-2015,canned beer,1
2551,21-10-2015,beef,1
2294,23-09-2015,rolls/buns,1
4531,29-05-2015,shopping bags,1
2957,12-04-2015,bottled beer,1
4415,27-01-2015,coffee,1
1476,26-08-2015,shopping bags,1
3978,23-07-2015,beef,1
2062,22-09-2015,shopping bags,1
3252,28-06-2015,brown bread,1
3922,24-06-2015,grapes,1
1491,17-10-2015,other vegetables,1
3526,26-08-2015,white wine,1
4060,11-12-2015,canned beer,1
1067,08-04-2015,pork,1
2840,27-01-2015,cat food,1
4484,27-11-2015,pork,1
2353,07-02-2015,bottled water,1
3130,18-02-2015,bottled water,1
4273,14-06-2015,soda,1
4565,30-12-2015,canned beer,1
2504,14-08-2015,tropical fruit,1
4127,23-10-2015,popcorn,1
2690,01-04-2015,whole milk,1
4129,22-09-2015,onions,1
4511,29-06-2015,pork,1
1602,04-08-2015,whole milk,1
4369,01-02-2015,yogurt,1
1302,29-09-2015,root vegetables,1
3326,30-04-2015,chicken,1
2066,21-05-2015,zwieback,1
3483,15-01-2015,chicken,1
2840,12-02-2015,curd,1
1807,18-05-2015,margarine,1
2067,12-08-2015,meat,1
3783,17-02-2015,salt,1
2884,04-01-2015,napkins,1
2908,15-03-2015,misc. beverages,1
1330,10-07-2015,processed cheese,1
2293,08-05-2015,chicken,1
3718,20-05-2015,whole milk,1
4338,25-01-2015,cream cheese ,1
3486,08-11-2015,citrus fruit,1
3635,04-09-2015,red/blush wine,1
2857,18-02-2015,tropical fruit,1
3684,13-08-2015,whole milk,1
3120,20-10-2015,other vegetables,1
3872,19-03-2015,whole milk,1
2777,07-04-2015,whole milk,1
2702,27-05-2015,whipped/sour cream,1
4796,29-06-2015,beef,1
1564,23-10-2015,pasta,1
2740,02-07-2015,curd,1
1833,13-04-2015,tropical fruit,1
1757,23-12-2015,other vegetables,1
2975,24-10-2015,cream cheese ,1
4032,10-08-2015,sausage,1
3979,16-09-2015,ham,1
3772,09-03-2015,yogurt,1
4523,28-10-2015,butter,1
4004,19-04-2015,citrus fruit,1
2936,08-06-2015,domestic eggs,1
2394,21-06-2015,newspapers,1
4616,16-08-2015,semi-finished bread,1
2362,08-07-2015,bottled beer,1
3593,03-11-2015,berries,1
4389,27-08-2015,cake bar,1
3206,11-08-2015,rum,1
4601,04-01-2015,salty snack,1
4382,13-11-2015,hamburger meat,1
2718,08-06-2015,chicken,1
4691,12-10-2015,white wine,1
3735,28-11-2015,rolls/buns,1
3900,20-12-2015,sausage,1
4959,30-06-2015,frozen vegetables,1
1815,30-08-2015,sausage,1
2454,08-04-2015,meat,1
4778,15-01-2015,hamburger meat,1
2289,04-11-2015,tropical fruit,1
1734,13-07-2015,bottled water,1
4019,05-02-2015,meat,1
4605,28-05-2015,butter,1
4864,14-11-2015,soda,1
4205,22-02-2015,herbs,1
1862,03-08-2015,other vegetables,1
1846,19-07-2015,oil,1
2019,28-05-2015,waffles,1
2042,19-11-2015,pork,1
1768,26-05-2015,pickled vegetables,1
3847,26-03-2015,candy,1
3557,20-07-2015,chocolate marshmallow,1
3975,27-02-2015,tropical fruit,1
4198,18-03-2015,yogurt,1
2580,04-09-2015,yogurt,1
3474,25-08-2015,frozen potato products,1
1678,14-11-2015,canned beer,1
4254,14-08-2015,ham,1
4704,21-08-2015,butter,1
3343,10-05-2015,specialty bar,1
3812,24-06-2015,berries,1
3093,13-03-2015,yogurt,1
2170,18-06-2015,ham,1
4867,29-10-2015,beef,1
3899,23-03-2015,tropical fruit,1
2941,03-10-2015,other vegetables,1
1958,03-07-2015,liquor,1
2760,08-08-2015,tropical fruit,1
4413,03-08-2015,beverages,1
1737,15-05-2015,citrus fruit,1
4202,18-02-2015,meat,1
1065,13-11-2015,tropical fruit,1
3819,28-06-2015,fruit/vegetable juice,1
2854,08-02-2015,candy,1
4387,16-09-2015,rolls/buns,1
4530,12-04-2015,fruit/vegetable juice,1
4191,03-11-2015,whipped/sour cream,1
3102,04-12-2015,other vegetables,1
1946,25-01-2015,whole milk,1
2156,15-05-2015,whole milk,1
1444,16-12-2015,other vegetables,1
1699,14-05-2015,pip fruit,1
4954,04-05-2015,grapes,1
2207,08-04-2015,cream cheese ,1
4826,28-01-2015,tropical fruit,1
2374,08-06-2015,tropical fruit,1
1604,18-08-2015,margarine,1
4437,29-11-2015,frozen fish,1
2319,10-05-2015,yogurt,1
3018,27-06-2015,root vegetables,1
1195,28-09-2015,soft cheese,1
1768,04-09-2015,root vegetables,1
3017,28-09-2015,tropical fruit,1
3384,29-11-2015,frozen vegetables,1
1918,30-01-2015,meat,1
2524,17-10-2015,citrus fruit,1
2798,17-06-2015,bottled beer,1
2096,25-01-2015,soda,1
1489,13-03-2015,whole milk,1
1431,20-07-2015,domestic eggs,1
2747,05-07-2015,butter,1
3054,22-03-2015,salt,1
2691,09-10-2015,tropical fruit,1
1752,19-04-2015,butter milk,1
3027,15-09-2015,red/blush wine,1
4452,17-06-2015,pork,1
4129,13-08-2015,cereals,1
3523,09-11-2015,other vegetables,1
2128,11-02-2015,chocolate marshmallow,1
4867,03-02-2015,whole milk,1
4762,30-10-2015,pork,1
1632,29-05-2015,whole milk,1
4018,17-11-2015,yogurt,1
1722,13-07-2015,whole milk,1
1438,19-10-2015,whole milk,1
3958,27-10-2015,brown bread,1
3292,13-09-2015,pork,1
2861,23-02-2015,tropical fruit,1
1757,24-02-2015,salty snack,1
1509,30-12-2015,liquor (appetizer),1
2364,11-05-2015,white bread,1
3084,26-10-2015,canned beer,1
1850,17-02-2015,soda,1
1949,17-03-2015,tropical fruit,1
4740,02-10-2015,UHT-milk,1
1072,23-10-2015,canned beer,1
4196,09-07-2015,other vegetables,1
4814,13-09-2015,whole milk,1
1514,28-02-2015,whole milk,1
4584,25-10-2015,yogurt,1
2751,03-02-2015,brown bread,1
4155,24-09-2015,pork,1
4670,11-10-2015,whole milk,1
4566,27-07-2015,pastry,1
2371,30-08-2015,frozen fish,1
3442,14-11-2015,pip fruit,1
3090,27-09-2015,root vegetables,1
1457,09-01-2015,butter milk,1
4952,08-04-2015,whole milk,1
3165,11-01-2015,tropical fruit,1
2608,19-09-2015,other vegetables,1
2040,07-10-2015,sugar,1
1327,09-08-2015,curd,1
3363,07-01-2015,herbs,1
1731,09-09-2015,tropical fruit,1
2760,02-08-2015,other vegetables,1
3120,14-01-2015,white bread,1
1332,30-04-2015,whole milk,1
4530,12-09-2015,domestic eggs,1
3145,23-02-2015,citrus fruit,1
1099,13-08-2015,pork,1
3188,06-12-2015,other vegetables,1
3748,13-10-2015,canned beer,1
4655,31-03-2015,whole milk,1
1827,01-05-2015,whole milk,1
2485,17-02-2015,pork,1
4683,15-01-2015,tropical fruit,1
4358,06-11-2015,pasta,1
1931,09-10-2015,other vegetables,1
2490,18-12-2015,pip fruit,1
4842,08-12-2015,yogurt,1
4616,01-01-2015,hamburger meat,1
2810,22-09-2015,citrus fruit,1
2785,18-10-2015,pork,1
3591,20-07-2015,newspapers,1
3896,10-09-2015,dessert,1
3842,01-07-2015,bottled water,1
2648,10-07-2015,root vegetables,1
4688,02-10-2015,dessert,1
3511,26-08-2015,bottled water,1
3084,04-09-2015,whole milk,1
3810,07-05-2015,other vegetables,1
4348,26-02-2015,beverages,1
3584,10-03-2015,photo/film,1
2620,11-06-2015,pork,1
2716,18-01-2015,beef,1
3797,10-08-2015,other vegetables,1
2976,02-06-2015,citrus fruit,1
2762,07-11-2015,whole milk,1
3752,25-04-2015,root vegetables,1
1659,30-11-2015,whole milk,1
4109,08-02-2015,whipped/sour cream,1
1542,07-08-2015,whole milk,1
2068,07-06-2015,whole milk,1
4509,14-06-2015,whole milk,1
4646,14-06-2015,hamburger meat,1
2122,07-04-2015,tropical fruit,1
2730,15-06-2015,abrasive cleaner,1
1800,31-07-2015,rolls/buns,1
1456,18-09-2015,whole milk,1
1138,02-09-2015,root vegetables,1
4104,12-06-2015,other vegetables,1
4985,28-02-2015,pickled vegetables,1
3181,13-12-2015,chicken,1
3178,21-10-2015,other vegetables,1
1688,10-11-2015,root vegetables,1
1488,28-11-2015,curd,1
4975,08-05-2015,yogurt,1
4697,09-01-2015,whole milk,1
4742,11-01-2015,meat,1
2640,22-04-2015,other vegetables,1
2548,25-12-2015,citrus fruit,1
2825,29-12-2015,root vegetables,1
2592,04-07-2015,onions,1
3622,28-12-2015,bottled beer,1
4852,21-08-2015,pip fruit,1
1839,03-09-2015,herbs,1
2413,04-04-2015,other vegetables,1
2982,14-06-2015,soda,1
1981,31-10-2015,specialty chocolate,1
4440,21-09-2015,fruit/vegetable juice,1
3497,24-11-2015,pork,1
3668,18-12-2015,root vegetables,1
4460,28-05-2015,red/blush wine,1
1335,16-01-2015,coffee,1
4303,07-12-2015,white bread,1
3508,28-02-2015,citrus fruit,1
1959,19-03-2015,other vegetables,1
3856,06-03-2015,long life bakery product,1
3141,29-07-2015,whole milk,1
4640,25-09-2015,pip fruit,1
4851,25-05-2015,herbs,1
3306,22-09-2015,sausage,1
2193,08-04-2015,cream cheese ,1
1156,13-09-2015,other vegetables,1
4596,08-04-2015,whole milk,1
1245,08-10-2015,rolls/buns,1
1515,05-07-2015,other vegetables,1
2564,14-07-2015,white wine,1
4527,18-10-2015,tropical fruit,1
2487,09-07-2015,other vegetables,1
3420,27-02-2015,root vegetables,1
4442,28-11-2015,whipped/sour cream,1
3164,30-04-2015,pork,1
3601,01-04-2015,meat,1
3176,25-05-2015,whole milk,1
2568,22-07-2015,tropical fruit,1
1856,26-10-2015,tropical fruit,1
3859,30-09-2015,nuts/prunes,1
1668,21-08-2015,female sanitary products,1
4499,23-08-2015,other vegetables,1
1753,21-08-2015,pickled vegetables,1
3829,25-06-2015,tropical fruit,1
4825,08-01-2015,root vegetables,1
3694,10-11-2015,other vegetables,1
4147,02-01-2015,bottled beer,1
2196,09-10-2015,house keeping products,1
2229,22-05-2015,rolls/buns,1
4724,03-09-2015,hamburger meat,1
3066,11-10-2015,other vegetables,1
1120,08-06-2015,other vegetables,1
4769,22-08-2015,meat,1
4711,17-09-2015,napkins,1
2391,22-06-2015,hamburger meat,1
1216,04-03-2015,onions,1
3154,14-05-2015,grapes,1
3911,30-07-2015,dessert,1
3111,15-10-2015,whole milk,1
1385,26-11-2015,frozen vegetables,1
1158,21-03-2015,citrus fruit,1
2733,22-07-2015,yogurt,1
4999,26-12-2015,herbs,1
2882,12-06-2015,other vegetables,1
2590,25-06-2015,dog food,1
4249,04-08-2015,bottled water,1
3012,03-05-2015,onions,1
1533,07-11-2015,other vegetables,1
1667,12-01-2015,onions,1
4323,13-05-2015,beef,1
2087,22-02-2015,citrus fruit,1
1853,31-05-2015,ice cream,1
2157,29-10-2015,meat,1
1136,29-10-2015,beef,1
2049,07-10-2015,whole milk,1
3122,02-05-2015,chicken,1
2245,15-05-2015,whole milk,1
4746,18-10-2015,ham,1
4224,24-02-2015,tropical fruit,1
4219,19-03-2015,other vegetables,1
2641,01-01-2015,other vegetables,1
3173,25-07-2015,root vegetables,1
2191,19-10-2015,root vegetables,1
4212,07-04-2015,whipped/sour cream,1
1902,01-12-2015,butter,1
1347,27-03-2015,pip fruit,1
1578,23-06-2015,bottled beer,1
1264,23-11-2015,curd,1
4632,30-09-2015,canned beer,1
3452,01-11-2015,other vegetables,1
4822,10-02-2015,whole milk,1
3987,18-06-2015,pip fruit,1
1672,07-10-2015,yogurt,1
4864,01-12-2015,oil,1
3368,09-03-2015,domestic eggs,1
1283,22-09-2015,chicken,1
4428,28-06-2015,sugar,1
2577,25-10-2015,dessert,1
1973,24-10-2015,specialty chocolate,1
3284,23-01-2015,newspapers,1
1905,19-05-2015,other vegetables,1
2226,09-03-2015,whole milk,1
1932,04-09-2015,zwieback,1
4506,11-08-2015,bottled water,1
1843,27-11-2015,root vegetables,1
3973,27-07-2015,coffee,1
1651,28-07-2015,chicken,1
3997,12-10-2015,bottled beer,1
4796,25-08-2015,other vegetables,1
1245,24-09-2015,other vegetables,1
3579,17-08-2015,other vegetables,1
4387,10-02-2015,baking powder,1
2496,29-06-2015,shopping bags,1
3590,28-03-2015,other vegetables,1
2890,26-04-2015,newspapers,1
1401,27-01-2015,soda,1
3297,21-05-2015,meat,1
2867,23-12-2015,bottled water,1
1365,20-05-2015,other vegetables,1
2355,24-07-2015,bottled beer,1
1170,19-03-2015,sparkling wine,1
3554,21-03-2015,meat,1
4171,26-01-2015,newspapers,1
3963,17-09-2015,pork,1
3076,08-12-2015,butter milk,1
1629,17-05-2015,ham,1
1366,30-05-2015,waffles,1
3677,29-07-2015,rolls/buns,1
2844,21-05-2015,whipped/sour cream,1
4509,28-09-2015,soda,1
3245,11-05-2015,chocolate,1
2294,22-06-2015,tropical fruit,1
1234,20-11-2015,root vegetables,1
3001,24-12-2015,chicken,1
3587,05-08-2015,pastry,1
2700,22-01-2015,tropical fruit,1
3838,14-12-2015,red/blush wine,1
4045,22-12-2015,whole milk,1
1858,25-04-2015,yogurt,1
2280,11-01-2015,organic products,1
2454,06-04-2015,rolls/buns,1
4437,09-10-2015,hard cheese,1
1685,30-03-2015,pickled vegetables,1
2349,26-02-2015,whole milk,1
1463,24-12-2015,root vegetables,1
3470,19-02-2015,zwieback,1
4914,29-11-2015,whole milk,1
2448,31-08-2015,rolls/buns,1
3387,10-05-2015,whole milk,1
3167,04-11-2015,hygiene articles,1
3175,17-03-2015,curd,1
2678,21-09-2015,rolls/buns,1
4627,18-12-2015,curd,1
1773,17-10-2015,pip fruit,1
3100,23-05-2015,rolls/buns,1
3232,29-05-2015,other vegetables,1
3673,12-08-2015,butter milk,1
4068,19-11-2015,tropical fruit,1
2340,07-10-2015,beef,1
1930,01-03-2015,soda,1
3526,02-06-2015,coffee,1
1617,10-02-2015,dessert,1
1028,11-07-2015,root vegetables,1
4440,01-12-2015,root vegetables,1
3554,23-07-2015,root vegetables,1
1632,15-12-2015,rolls/buns,1
1429,07-02-2015,pip fruit,1
1225,20-05-2015,brown bread,1
2509,15-07-2015,rolls/buns,1
4945,02-08-2015,butter,1
4342,18-03-2015,rolls/buns,1
1832,28-09-2015,candles,1
1518,21-06-2015,yogurt,1
1512,20-09-2015,domestic eggs,1
4818,20-03-2015,pastry,1
4686,19-08-2015,whole milk,1
4986,01-02-2015,other vegetables,1
2755,06-02-2015,fruit/vegetable juice,1
4532,29-11-2015,chicken,1
2070,16-08-2015,pip fruit,1
1894,09-05-2015,soda,1
3473,25-01-2015,whole milk,1
2140,28-09-2015,root vegetables,1
3286,23-12-2015,yogurt,1
4729,08-04-2015,frozen vegetables,1
3204,20-02-2015,oil,1
1574,18-04-2015,whipped/sour cream,1
3361,22-07-2015,beef,1
1776,25-02-2015,UHT-milk,1
2009,11-10-2015,soda,1
3479,24-03-2015,soda,1
2394,22-11-2015,whole milk,1
1337,25-12-2015,bottled water,1
3574,13-06-2015,domestic eggs,1
1727,18-07-2015,beef,1
1016,05-10-2015,bottled beer,1
4326,21-01-2015,whole milk,1
2212,22-09-2015,other vegetables,1
1990,01-08-2015,tropical fruit,1
3836,06-12-2015,other vegetables,1
4560,01-07-2015,other vegetables,1
1119,04-02-2015,whole milk,1
1379,18-05-2015,dishes,1
1658,03-09-2015,dish cleaner,1
2948,16-06-2015,yogurt,1
1273,04-05-2015,whole milk,1
1155,27-12-2015,brandy,1
1672,05-02-2015,brandy,1
3841,02-04-2015,yogurt,1
1683,20-08-2015,pip fruit,1
1774,07-08-2015,other vegetables,1
4441,17-06-2015,dishes,1
1929,02-05-2015,soda,1
1273,31-01-2015,pastry,1
2920,11-10-2015,beef,1
2467,18-04-2015,yogurt,1
2678,28-11-2015,dessert,1
3423,02-06-2015,flower (seeds),1
4223,19-07-2015,bottled water,1
2846,23-09-2015,liquor,1
4103,26-07-2015,whole milk,1
4789,02-05-2015,curd,1
4916,26-02-2015,other vegetables,1
2518,03-05-2015,other vegetables,1
2622,07-03-2015,pip fruit,1
4321,29-01-2015,chocolate,1
2050,28-06-2015,other vegetables,1
2146,20-06-2015,newspapers,1
3938,26-05-2015,ham,1
1636,19-09-2015,bottled beer,1
4694,29-07-2015,whole milk,1
2432,07-07-2015,frozen fish,1
4937,18-05-2015,sausage,1
1293,01-03-2015,light bulbs,1
2883,17-02-2015,butter,1
2267,30-01-2015,frozen vegetables,1
3997,09-06-2015,herbs,1
4792,20-07-2015,UHT-milk,1
2292,25-03-2015,root vegetables,1
1018,23-05-2015,root vegetables,1
4922,13-02-2015,ice cream,1
3151,25-09-2015,dessert,1
2517,04-07-2015,UHT-milk,1
1499,17-05-2015,whole milk,1
4993,21-01-2015,brown bread,1
1606,11-11-2015,other vegetables,1
2918,10-08-2015,ham,1
1815,13-01-2015,bottled water,1
4524,05-07-2015,butter,1
1395,11-06-2015,soda,1
3456,16-06-2015,whole milk,1
1597,05-02-2015,whole milk,1
2315,02-05-2015,other vegetables,1
4095,29-09-2015,ham,1
3680,24-11-2015,whole milk,1
2847,23-11-2015,white bread,1
3426,25-10-2015,yogurt,1
4750,04-08-2015,whipped/sour cream,1
1384,09-08-2015,specialty chocolate,1
3120,09-08-2015,yogurt,1
1081,25-04-2015,butter milk,1
1171,05-05-2015,onions,1
4932,08-07-2015,fruit/vegetable juice,1
4189,11-09-2015,whole milk,1
4455,09-09-2015,soda,1
2928,11-02-2015,root vegetables,1
4817,18-03-2015,whole milk,1
4257,28-06-2015,herbs,1
4254,20-07-2015,white wine,1
4071,19-09-2015,soda,1
2109,28-10-2015,tropical fruit,1
1412,05-07-2015,margarine,1
4088,23-09-2015,whole milk,1
4056,20-10-2015,root vegetables,1
4441,05-05-2015,soda,1
4363,01-07-2015,soda,1
2107,27-11-2015,bottled water,1
2941,23-02-2015,brown bread,1
1497,26-07-2015,butter milk,1
2211,01-01-2015,pastry,1
3510,02-01-2015,whole milk,1
4074,27-05-2015,cream cheese ,1
3190,21-11-2015,liquor,1
2297,01-03-2015,shopping bags,1
3311,01-07-2015,specialty cheese,1
3085,21-01-2015,grapes,1
3693,16-11-2015,root vegetables,1
4859,07-07-2015,other vegetables,1
2125,25-06-2015,frozen meals,1
2261,04-04-2015,root vegetables,1
3679,27-11-2015,grapes,1
4165,18-08-2015,citrus fruit,1
3538,01-03-2015,other vegetables,1
3913,19-02-2015,other vegetables,1
2336,14-04-2015,other vegetables,1
3549,01-08-2015,misc. beverages,1
4434,21-09-2015,mayonnaise,1
2854,08-02-2015,whole milk,1
3413,08-02-2015,sausage,1
1780,13-10-2015,canned fish,1
2899,06-09-2015,pastry,1
2106,13-08-2015,other vegetables,1
3929,30-07-2015,yogurt,1
3857,01-10-2015,tropical fruit,1
4459,18-12-2015,beverages,1
4551,28-07-2015,artif. sweetener,1
4042,17-12-2015,soda,1
2599,06-05-2015,curd,1
1045,25-11-2015,onions,1
4677,24-01-2015,whole milk,1
1580,14-06-2015,whole milk,1
3269,07-10-2015,whole milk,1
4368,29-01-2015,bottled water,1
1111,20-11-2015,semi-finished bread,1
4841,13-09-2015,citrus fruit,1
3047,07-09-2015,whole milk,1
4349,14-03-2015,citrus fruit,1
3580,24-11-2015,canned beer,1
2370,18-07-2015,pastry,1
3094,28-06-2015,bottled beer,1
1146,12-09-2015,margarine,1
2287,16-12-2015,tropical fruit,1
3911,23-08-2015,salt,1
4891,19-04-2015,cream cheese ,1
4837,02-12-2015,bottled beer,1
4464,21-10-2015,ice cream,1
2940,18-10-2015,rolls/buns,1
4972,06-02-2015,chicken,1
4890,03-07-2015,tidbits,1
4295,17-07-2015,butter milk,1
2729,24-09-2015,other vegetables,1
1125,19-11-2015,citrus fruit,1
1850,11-01-2015,hamburger meat,1
2928,22-09-2015,frozen meals,1
3717,30-05-2015,frozen vegetables,1
3809,24-03-2015,ham,1
3437,02-02-2015,berries,1
1481,17-01-2015,pip fruit,1
1050,04-05-2015,whole milk,1
2918,16-03-2015,pork,1
4499,08-08-2015,tropical fruit,1
4117,06-01-2015,bottled beer,1
1630,22-05-2015,tropical fruit,1
3715,11-05-2015,whole milk,1
3512,17-11-2015,rolls/buns,1
1197,27-04-2015,yogurt,1
3958,04-03-2015,rolls/buns,1
4890,14-09-2015,condensed milk,1
3112,19-05-2015,nuts/prunes,1
4502,22-11-2015,soda,1
4719,01-06-2015,pip fruit,1
1516,28-01-2015,oil,1
4281,18-10-2015,soda,1
1566,30-04-2015,ketchup,1
4641,29-11-2015,other vegetables,1
2561,26-02-2015,whipped/sour cream,1
2344,17-12-2015,yogurt,1
2643,21-04-2015,whole milk,1
3236,09-04-2015,rolls/buns,1
4863,30-12-2015,curd,1
2264,12-01-2015,tropical fruit,1
3168,20-03-2015,coffee,1
1282,18-11-2015,yogurt,1
2832,02-11-2015,frozen vegetables,1
3067,27-11-2015,frozen meals,1
1847,17-04-2015,rolls/buns,1
3525,14-02-2015,frozen vegetables,1
1231,14-10-2015,root vegetables,1
3471,28-03-2015,vinegar,1
2421,22-11-2015,whole milk,1
4092,14-06-2015,candy,1
1577,16-03-2015,cream cheese ,1
3463,13-06-2015,bottled water,1
3518,01-08-2015,brown bread,1
4325,14-10-2015,beef,1
4947,18-11-2015,chicken,1
2194,11-01-2015,pip fruit,1
2868,20-03-2015,hamburger meat,1
3211,30-09-2015,whole milk,1
4537,01-01-2015,brown bread,1
2243,15-09-2015,rolls/buns,1
2399,21-01-2015,margarine,1
4133,22-01-2015,yogurt,1
2937,17-06-2015,chewing gum,1
1029,14-03-2015,ham,1
4384,22-09-2015,canned fish,1
3756,22-07-2015,bottled water,1
1646,19-06-2015,ham,1
3066,30-11-2015,root vegetables,1
1259,27-11-2015,root vegetables,1
2245,28-01-2015,shopping bags,1
3289,01-03-2015,soft cheese,1
3742,22-08-2015,hamburger meat,1
4537,09-04-2015,grapes,1
4531,29-09-2015,meat,1
3764,05-10-2015,pork,1
1581,13-08-2015,onions,1
2859,11-02-2015,herbs,1
2175,06-03-2015,sliced cheese,1
1301,03-11-2015,pip fruit,1
3465,01-11-2015,soda,1
2203,27-06-2015,onions,1
2113,16-08-2015,pork,1
3072,26-01-2015,citrus fruit,1
2805,17-08-2015,canned beer,1
2511,14-07-2015,cat food,1
2120,26-01-2015,whole milk,1
2346,24-04-2015,specialty cheese,1
2071,14-10-2015,whole milk,1
2610,26-02-2015,shopping bags,1
3489,18-11-2015,other vegetables,1
3458,13-08-2015,whole milk,1
4869,06-02-2015,hygiene articles,1
2580,11-04-2015,chicken,1
3305,24-06-2015,chocolate,1
3811,24-06-2015,other vegetables,1
1782,16-08-2015,yogurt,1
3050,07-04-2015,whole milk,1
4924,14-09-2015,butter,1
1480,21-11-2015,soda,1
3508,15-08-2015,hygiene articles,1
2545,18-11-2015,frozen dessert,1
3638,06-06-2015,pip fruit,1
3971,30-12-2015,bottled beer,1
4536,06-04-2015,pip fruit,1
2707,12-06-2015,yogurt,1
1382,29-09-2015,packaged fruit/vegetables,1
4648,14-09-2015,instant coffee,1
2699,18-04-2015,whole milk,1
3119,05-02-2015,chicken,1
4695,09-09-2015,canned beer,1
4778,24-08-2015,coffee,1
3451,26-04-2015,whole milk,1
2221,16-12-2015,shopping bags,1
4217,23-11-2015,liquor,1
1334,07-06-2015,onions,1
2499,22-11-2015,frozen meals,1
3585,21-07-2015,other vegetables,1
3161,08-11-2015,other vegetables,1
2434,06-06-2015,pastry,1
4448,06-01-2015,tropical fruit,1
4597,13-07-2015,seasonal products,1
4584,09-10-2015,tropical fruit,1
1606,10-03-2015,bottled beer,1
3323,12-11-2015,sausage,1
1308,14-03-2015,root vegetables,1
1331,07-10-2015,domestic eggs,1
2386,30-01-2015,frozen dessert,1
3910,28-02-2015,photo/film,1
4274,01-08-2015,whole milk,1
3101,21-01-2015,brown bread,1
4416,23-12-2015,whole milk,1
2375,09-12-2015,butter,1
1819,09-09-2015,tropical fruit,1
3981,02-10-2015,dessert,1
3553,01-06-2015,ham,1
3846,28-01-2015,domestic eggs,1
3037,23-02-2015,ham,1
3469,09-02-2015,brown bread,1
1601,09-12-2015,root vegetables,1
4040,03-03-2015,berries,1
3926,07-06-2015,shopping bags,1
4201,14-10-2015,house keeping products,1
4274,30-09-2015,processed cheese,1
2665,13-04-2015,detergent,1
3153,08-10-2015,other vegetables,1
2691,07-09-2015,domestic eggs,1
4022,31-07-2015,yogurt,1
3716,10-11-2015,cake bar,1
4537,12-10-2015,rolls/buns,1
4875,11-06-2015,cream cheese ,1
3822,25-09-2015,ice cream,1
3609,12-12-2015,vinegar,1
4428,23-08-2015,citrus fruit,1
3947,16-04-2015,packaged fruit/vegetables,1
2448,17-08-2015,rolls/buns,1
2688,11-04-2015,canned vegetables,1
3764,24-07-2015,margarine,1
4523,24-08-2015,brown bread,1
3698,30-08-2015,yogurt,1
3898,21-08-2015,bottled beer,1
1761,02-10-2015,seasonal products,1
2689,11-01-2015,whole milk,1
1627,11-04-2015,pastry,1
4629,16-11-2015,candy,1
2790,30-12-2015,other vegetables,1
4496,23-01-2015,bottled water,1
1934,27-02-2015,napkins,1
2513,12-02-2015,coffee,1
3298,28-01-2015,herbs,1
4214,20-03-2015,root vegetables,1
2480,14-08-2015,whole milk,1
4962,29-03-2015,yogurt,1
3960,20-06-2015,long life bakery product,1
2074,23-01-2015,chicken,1
2625,03-10-2015,rolls/buns,1
1557,04-08-2015,hamburger meat,1
2007,28-08-2015,photo/film,1
2120,07-10-2015,pip fruit,1
4289,08-09-2015,liquor (appetizer),1
2356,31-01-2015,rolls/buns,1
4301,30-09-2015,soda,1
2950,07-02-2015,whole milk,1
2263,02-07-2015,tropical fruit,1
3186,25-11-2015,other vegetables,1
2655,01-07-2015,rolls/buns,1
1491,18-06-2015,citrus fruit,1
2069,10-02-2015,specialty chocolate,1
3012,20-09-2015,brown bread,1
2681,24-02-2015,pastry,1
4144,06-11-2015,waffles,1
3919,07-10-2015,root vegetables,1
2777,01-06-2015,herbs,1
4119,09-05-2015,onions,1
3597,23-06-2015,whole milk,1
2110,15-05-2015,domestic eggs,1
3523,19-04-2015,rolls/buns,1
3364,14-09-2015,beverages,1
3759,08-09-2015,whole milk,1
4014,15-11-2015,citrus fruit,1
3140,27-08-2015,frozen meals,1
2787,24-06-2015,rolls/buns,1
2525,16-11-2015,other vegetables,1
2555,05-12-2015,tropical fruit,1
2419,07-04-2015,pip fruit,1
4257,21-08-2015,pastry,1
4267,16-06-2015,cream cheese ,1
2364,08-09-2015,coffee,1
4008,04-05-2015,pip fruit,1
1231,28-06-2015,detergent,1
1651,06-05-2015,other vegetables,1
1371,11-05-2015,beef,1
2501,09-09-2015,whole milk,1
1467,02-05-2015,tropical fruit,1
1015,04-05-2015,whole milk,1
4697,10-02-2015,whole milk,1
2727,30-09-2015,frozen meals,1
3592,10-06-2015,bottled beer,1
1279,19-07-2015,ham,1
1708,02-04-2015,onions,1
2305,05-01-2015,cream cheese ,1
3294,03-07-2015,beef,1
4147,16-09-2015,canned beer,1
3850,03-09-2015,curd cheese,1
1624,22-12-2015,berries,1
3023,06-05-2015,hamburger meat,1
2771,26-08-2015,sausage,1
1144,01-04-2015,whole milk,1
3938,18-05-2015,pork,1
4180,07-09-2015,hamburger meat,1
1053,09-07-2015,pastry,1
2671,27-07-2015,sugar,1
2001,09-09-2015,other vegetables,1
2095,29-09-2015,other vegetables,1
3245,08-12-2015,curd,1
4878,18-04-2015,whole milk,1
